number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_kernel,params_lr,params_optimizer,params_scheduler,params_weight_decay,state
0,0.8888888888888888,2026-02-07 08:37:24.337958,2026-02-07 08:44:31.267495,0 days 00:07:06.929537,16,0.4298344726508737,3,0.0004909655974533612,SGD,step,0.0001300210634971183,COMPLETE
1,0.8263888888888888,2026-02-07 08:44:31.331272,2026-02-07 08:51:20.361714,0 days 00:06:49.030442,16,0.27655721116424725,3,8.092261444947109e-05,SGD,cosine,3.578288398747493e-05,COMPLETE
2,0.71875,2026-02-07 08:51:20.388392,2026-02-07 09:00:48.547080,0 days 00:09:28.158688,32,0.4525772333580701,5,1.1051054135515083e-05,SGD,cosine,2.851209513334713e-05,COMPLETE
3,0.9166666666666666,2026-02-07 09:00:48.595504,2026-02-07 09:07:40.041866,0 days 00:06:51.446362,16,0.11623300094706841,3,0.0005804125091740692,SGD,cosine,0.00014488157151923713,COMPLETE
4,0.9296875,2026-02-07 09:07:40.088749,2026-02-07 09:17:08.613080,0 days 00:09:28.524331,32,0.14535311407276386,5,0.00022063902352333618,AdamW,step,2.075140652068769e-06,COMPLETE
5,0.640625,2026-02-07 09:17:08.640049,2026-02-07 09:17:39.156255,0 days 00:00:30.516206,32,0.3761963613625159,3,0.0015159487111999306,SGD,step,7.956241716487654e-06,PRUNED
6,0.1640625,2026-02-07 09:17:39.197683,2026-02-07 09:18:02.376187,0 days 00:00:23.178504,32,0.20088604516592778,5,2.1157856112838394e-05,SGD,step,0.0002621800844795905,PRUNED
7,0.7013888888888888,2026-02-07 09:18:02.392111,2026-02-07 09:18:55.859700,0 days 00:00:53.467589,16,0.1274285909953431,5,0.0014868171196476911,AdamW,cosine,6.0792345015100904e-05,PRUNED
8,0.7430555555555556,2026-02-07 09:18:55.890629,2026-02-07 09:19:47.128172,0 days 00:00:51.237543,16,0.15757356410200246,3,0.00021055622646896772,SGD,cosine,0.000118911155892202,PRUNED
9,0.5902777777777778,2026-02-07 09:19:47.154755,2026-02-07 09:20:38.850571,0 days 00:00:51.695816,16,0.1671342468489435,3,0.0008022630378921783,AdamW,step,2.4795149321715145e-06,PRUNED
